stat1,stat2,stat3,stat4,stat5,stat6,prob
11,10,4,4,4,3,99.89%
11,10,5,4,4,3,99.89%
11,10,6,4,4,3,99.89%
11,10,5,5,4,3,99.89%
11,10,6,5,4,3,99.89%
11,10,7,4,4,3,99.89%
11,10,7,5,4,3,99.89%
11,10,6,6,3,3,99.89%
11,10,7,6,3,3,99.89%
11,10,6,6,4,3,99.89%
11,10,7,6,4,3,99.89%
10,10,8,5,5,3,99.88%
10,10,8,6,5,3,99.88%
11,10,8,3,3,3,99.88%
11,10,8,4,3,3,99.88%
11,10,8,5,3,3,99.88%
11,10,8,4,4,3,99.88%
10,10,7,7,3,3,99.88%
11,10,8,5,4,3,99.88%
10,10,7,7,4,3,99.88%
11,10,8,6,3,3,99.88%
11,10,8,6,4,3,99.88%
10,10,8,7,3,3,99.87%
10,10,8,7,4,3,99.87%
11,10,5,5,5,3,99.87%
11,10,6,5,5,3,99.87%
11,10,7,5,5,3,99.87%
11,10,6,6,5,3,99.87%
11,10,7,6,5,3,99.87%
10,10,7,7,5,3,99.86%
11,10,8,5,5,3,99.86%
11,10,8,6,5,3,99.86%
11,10,7,7,3,3,99.85%
11,10,7,7,4,3,99.85%
10,10,8,7,5,3,99.85%
9,9,9,3,3,3,99.85%
9,9,9,4,3,3,99.85%
9,9,9,5,3,3,99.85%
9,9,9,4,4,3,99.85%
9,9,9,5,4,3,99.85%
10,9,9,3,3,3,99.85%
10,9,9,4,3,3,99.85%
10,9,9,5,3,3,99.85%
10,9,9,4,4,3,99.85%
9,9,9,6,3,3,99.85%
10,9,9,5,4,3,99.85%
11,10,8,7,3,3,99.84%
9,9,9,6,4,3,99.84%
11,10,8,7,4,3,99.84%
10,9,9,6,3,3,99.84%
10,9,9,6,4,3,99.84%
11,10,7,7,5,3,99.83%
9,9,9,5,5,3,99.83%
10,9,9,5,5,3,99.83%
11,10,8,7,5,3,99.83%
9,9,9,6,5,3,99.82%
10,9,9,6,5,3,99.82%
9,9,9,7,3,3,99.82%
9,9,9,7,4,3,99.82%
11,9,9,3,3,3,99.82%
11,9,9,4,3,3,99.82%
11,9,9,5,3,3,99.82%
10,9,9,7,3,3,99.82%
11,9,9,4,4,3,99.81%
11,9,9,5,4,3,99.81%
10,9,9,7,4,3,99.81%
11,9,9,6,3,3,99.81%
11,9,9,6,4,3,99.81%
6,6,6,6,6,3,99.81%
7,6,6,6,6,3,99.81%
8,6,6,6,6,3,99.81%
7,7,6,6,6,3,99.81%
8,7,6,6,6,3,99.81%
9,6,6,6,6,3,99.81%
9,7,6,6,6,3,99.81%
8,8,6,6,6,3,99.80%
9,8,6,6,6,3,99.80%
7,7,7,6,6,3,99.80%
8,7,7,6,6,3,99.80%
9,7,7,6,6,3,99.80%
8,8,7,6,6,3,99.80%
9,8,7,6,6,3,99.80%
10,6,6,6,6,3,99.80%
10,7,6,6,6,3,99.80%
10,8,6,6,6,3,99.80%
